window_idx,trades,net_pnl_usd,win_rate,long_trades,short_trades,cum_pnl_usd
10,25,-28.22,32.0,0,25,-28.22
11,139,643.1,51.08,132,7,614.88
12,62,-93.39,29.03,1,61,521.49
13,58,155.8,39.66,26,32,677.29
14,19,219.01,52.63,0,19,896.3
15,32,187.36,40.62,2,30,1083.66
16,80,213.35,28.75,12,68,1297.01
17,84,-4.01,29.76,0,84,1293.0
18,2,28.86,50.0,1,1,1321.86
19,15,16.46,26.67,1,14,1338.31
20,130,887.97,46.92,1,129,2226.28
21,100,246.68,41.0,0,100,2472.96
22,35,170.16,42.86,5,30,2643.12
23,1,10.24,100.0,1,0,2653.36
